package,nCores,nSim,OS,detectCores,time,initials
doMC,1,1000,,,,
doMC,2,1000,,,,
doMC,3,1000,,,,
doMC,4,1000,,,,
doMC,6,1000,,,,
doMC,8,1000,,,,
doMC,1,5000,,,,
doMC,2,5000,,,,
doMC,3,5000,,,,
doMC,4,5000,,,,
doMC,6,5000,,,,
doMC,8,5000,,,,
doMC,1,10000,,,,
doMC,2,10000,,,,
doMC,3,10000,,,,
doMC,4,10000,,,,
doMC,6,10000,,,,
doMC,8,10000,,,,
mclapply,1,1000,,,,
mclapply,2,1000,,,,
mclapply,3,1000,,,,
mclapply,4,1000,,,,
mclapply,6,1000,,,,
mclapply,8,1000,,,,
mclapply,1,5000,,,,
mclapply,2,5000,,,,
mclapply,3,5000,,,,
mclapply,4,5000,,,,
mclapply,6,5000,,,,
mclapply,8,5000,,,,
mclapply,1,10000,,,,
mclapply,2,10000,,,,
mclapply,3,10000,,,,
mclapply,4,10000,,,,
mclapply,6,10000,,,,
mclapply,8,10000,,,,
doParallel,1,1000,,,,
doParallel,2,1000,,,,
doParallel,3,1000,,,,
doParallel,4,1000,,,,
doParallel,6,1000,,,,
doParallel,8,1000,,,,
doParallel,1,5000,,,,
doParallel,2,5000,,,,
doParallel,3,5000,,,,
doParallel,4,5000,,,,
doParallel,6,5000,,,,
doParallel,8,5000,,,,
doParallel,1,10000,,,,
doParallel,2,10000,,,,
doParallel,3,10000,,,,
doParallel,4,10000,,,,
doParallel,6,10000,,,,
doParallel,8,10000,,,,